,diary,emotion,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
3920,내가 겪어보니 그사람들도 본인이 답답하다는 것을 알고있었던 것이었다,5,,,,,
3921,알면서도 그러고 사는게 얼마나 괴로웠을까,5,,,,,
3922,왜 삶을 이지경으로 형성하게 만든걸까  굳이 굳이 왜 90퍼센트의 사람들이 고통받게 만든걸까,5,,,,,
3923,종교를 갖기 어려운이유다 신이 누구든  원망만하게 될 것  같아서,3,,,,,
3924,나는 누가봐도 대충사는 사람같은데 대충사는게 힘들다,5,,,,,
3925,열심히 살고싶은데 열심히하는게 너무 싫다,3,,,,,
3926,누구나 내면에 이중적인 면이 있다는데 나는 진짜로 딱 절반이다 누구 하나가 좀 더 세면 어떻게 이겨먹어볼텐데,3,,,,,
3927,딱!반이니까 그냥 맨날 싸우기만하고 결론은 안나는 상황이다,5,,,,,
3928,오늘은 금요일이고 내일은 주말인데 이상하게 기분이 썩 좋지 않다,5,,,,,
3929,집순이인데 집순이한테 밖에 못나가게하니까 괴롭다,3,,,,,
3930,밖에 나갈 수 있다는 전제하게 집에 박혀있는게 행복한데,1,,,,,
3931,못나가게하니까 갑자기 집이 답답하다,3,,,,,
3932,폐렴에 걸릴 확률보다 집에 쳐박혀서 두통으로 괴로워할 확률이 크니까 나는 나의 건강을 우ㅣ해 나갔다오겠다!!,1,,,,,
3933,"2019년 7월 말, 나는 고등학교 친구들과 1박 2일로 속초 여행을 갔다. 교통비를 아껴 식비에 보태겠다며 편한 KTX를 두고 비교적 불편하고 오래 걸리는 시외 버스를 선택했는데 가는 길이 막히지도 않았고, 아침 일찍부터 출발하느라 잠 자기 바빠서 불편함을 느끼지도 못 했다. 도착하자마자 예약한 숙소에 짐을 풀어두고 바닷가의 횟집을 찾아가 특대 사이즈로 광어, 우럭 두 접시를 먹고 곧장 바다로 출발했다. 바다에 풍덩 빠져 놀고 싶었지만 방수팩과 여벌옷, 수건 등 물놀이 시 필요한 물건들이 모두 숙소에 있는 바람에 신발만 벗어두고 첨벙첨벙 하며 놀았다. 한 친구가 어디선가 주워온 나뭇가지로 바닷물이 빠졌을 때 후다닥 모래에 글씨를 써서 사진을 찍기도 했고, 글씨를 다 쓰기도 전에 바닷물이 밀려와 웃으며 다시 쓰기도 했다. 밀려오는 바닷물을 피하려고 급히 뒷걸음질을 치다가 넘어져 엉덩이가 다 젖는 일도 있엇다. 이 땐 정말 웃느라 배꼽이 없어질 뻔 했다! 점심으로 조개구이를 먹으러 가기로 했는데 바다에서 노느라 정신이 없어서 배고픈지도 몰랐다. 나중에 시간을 보니 발만 담구고 놀았는데도 5시간이 훌쩍 가 있었다. 저녁 메뉴는 점심에 못 먹은 조개구이로 결정했다. 직접 구워먹고 싶어서 조개들과 해산물들을 구입한 후 숙소의 바베큐장을 이용했다. 공동 바베큐장이라 다른 손님들도 있었는데 다행히 우리 말고 사용하는 사람이 없었다. 그렇게 저녁을 먹고 숙소에 들어가 한명씩 샤워를 하고 모기향도 두 개 정도 피워둔 뒤 한자리에 모여 이런저런 수다를 떨었다. 보통 친구들끼라 여행을 가면 저녁 시간엔 큰 스크린에 영화를 틀어놓고 보는 경우가 많은데 내 친구들과 나는 ""모처럼 다같이 놀러 왔고 새벽 내내 시간도 많겠다 수다나 왕창 떨자"" 주의여서 좋았다. 사실 나는 마음 맞는 친구들과 여행을 다닐 때마다 낮의 일정도 설레고 기분 좋지만 밤에 숙소에서 편히 쉬며 얘기하는 시간을 더 좋아한다. 평소엔 만날 때마다 환한 대낮이고, 시끌시끌한 밖이고, 여기저기 다니느라 정신이 없어 얘기를 잘 하지 못 하는데 여행 중의 밤과 새벽은 편안한 자리와 맛있는 먹을 것들, 여유로운 시간이 있기 때문이다. 그렇게 야식으로 족발, 보쌈, 마른 안주들과 함께 술도 진탕 마셨다. 술을 잘 못 하는 친구 둘은 한 두시간 지나 방에 들어가서 자고, 나를 포함한 셋은 새벽 5시 쯤 잠들었다. 10시에 숙취에 찌든 친구들을 깨워서 바삐 짐을 챙겨 체크아웃을 하고 다 같이 해물짬뽕으로 해장을 했다. 바다가 근처여서 그런지 해물도 엄청 많았고 질이 좋았다. 속초를 떠나기 전 마지막으로 오션뷰 카페도 들렀다. 어제 오려다가 못 왔는데 출발 직전에 오게 되서 기분이 좋았다! 각자 좋아하는 음료를 먹으며 사진도 찍고 서로를 찍어주기도 했다. 버스를 타고 돌아오는 길에도 다들 늦게 자고 일찍 일어나서 피곤했는지 잠자기 바빴다. 너무 짧았던 속초 여행을 끝내고 집에 와서 캐리어를 정리하고 찍었던 사진, 영상들을 보는데 마치 달게 꾸던 꿈에서 깨어난 기분이였다. 나를 지치게 한 일상의 모든 것들을 다 멈추고 훌쩍 떠난 여행이였는데 그만큼 힐링이 되었던 여행이였다. 나중에 이 친구들과 같은 바다, 같은 숙소, 같은 식당을 다시 들러 추억을 회상하는 날도 왔으면 싶고 우리가 조금 더 나이가 들어 직장에 다니며 경제적으로 더 여유가 있을 땐 해외여행도 하고 싶다. 해외는 어디든 낯설겠지만 이 친구들이 옆에 있다면 아무 장비 없이도 훌쩍 떠날 수 있을 것 같다.",1,,,,,
3934,"A(동거인)랑 B님(한 달 전 쯤 갔던 술집 사장님)이랑 셋이서 술을 마셨다. B님이 A에게 학벌주의적, 성과중심적인 코멘트를 자꾸 하면서 못되게 굴었다. 나는 소리를 빽 지르며 대체 왜 그러는 거냐고 따졌다. 그러자 A는 자신의 의도를 왜곡하지 말라며 되레 나에게 화를 냈다.",3,,,,,
3935,"다음 날 아침, 내 얼굴에는 지능이 낮은 사람에게서만 나타난다는 흰색 암석 결정들이 피어났다. 나는 당황했다. 나는 똑똑해야하는데. D씨는 내 얼굴을 보더니 날 체육관으로 데리고 가서 배드민턴 라켓을 쥐어줬다. 자기와 배드민턴 시합을 해서 내가 똑똑하고 뛰어난 사람이라는 걸 직접 증명하라고 했다.",5,,,,,
3936,"공터에 도착한 시간은 3기 50분쯤 예정된 시각보다는 조금 이르게 도착했다. 그럼에도 불구하고 나와 같이 여행으로인해 두근거리는 사람들이 괘 있었던 것인지 나 이외에도 벌써 도착해 다른 사람들을 기다리고 있는 친구들이 많이 있었다. 나는 얼른 내 커다란 캐리어를 챙겨 친구들이 모여 있는 곳으로 달려갔다. 시간이 좀 지났을까 , 인원들이 거의 다 도책했고 몇 번의 인원점검을 되풀이한 뒤 잠시 대기 사간을 가졌다. 버스를 타는 순간을 기다리던 나는 무심코 하늘을 올려다 보았다. 내 시선이 맞닿는 곳에는 북두칠성이 있었다. 그것도 아주 밝은 빛을 내며 반짝이고 있는 북두칠성이. 평소에는 하늘을 올려다 보면 이름도 보를 별 두어 개가 하늘에 그려져 있는 게 고작 이었는데, 새벽이라 그런지 새까만 하늘에 보석마냥 박혀있는 북두칠성과 그 옆으로 조그마하게 수 놓아진 큐빅같은 별들이 있었다. 이 모든 별들이 나의 여행을 축하해주는 것 같아 너무 황홀했다. 역시 이번 여행은 나에게 있어 정말로 소중한 기억이 될 것임은 틀림없는 사실이었다.",2,,,,,
3937,"버스에 올라타 잠시 수다를 떨자마자 눈 깜짝할 사이에 공항에 도착했다. 평소에는 잘 들고 다니지도 않는 신분증을 한 손에 꼭 쥐고 남은 한 손으로는 조심히 캐리어를 끌고가는 내 모습은 영락없이 비행기를 처음 타 보는 사람이었다. 그래서 그런지 탑승 수속을 밟을 때 어영부영하여 하마터면 티켓을 받지도 않고 가버릴 뻔 하였지만, 다행히도 친구의 도움으로 무사히 수속을 마쳤다. 길다면 길고 짧다면 짧을 기다림 뒤, 대망의 비행기 탑승이었다. 비행기는 활주로를 배회하다 드디어 하늘로 도약했다. 비행기가 살짝 몸을 기울이자 내 아래가 바로 하늘이었다. 이 신기한 광경에 눈을 떼지 못한 나는 연신 사진과 동영상을 찍고 나서야 비로소 창문에서 눈을 뗄 수 있었다. 비행기가 무사히 착륙하고 우리는 공항밖으로 나왔다. 이제부터가 나의 여행의 시작, 제주도였다.",1,,,,,
3938,"이건 좀 다른 이야기지만 안재훈 감독님의 유머 스타일이 굉장히 내 스타일이었다. 안씨 페스티벌이 자기 집안 행사 -안씨! 하신거나 안도(일본 작가 이름)을 말하시면서 같은 안씨네요 ㅎ 하신것도 너무 웃겼다. 그림 그리는 사람들 사이에서 음악하는 사람을 되게 멋있게 보는 경향이 있다~같은 말씀을 하셨는데, 나만 그렇게 생각한게 아니구나 싶기도 했고. 음악하는 사람 너무너무 멋있지! 사석에서도 좋은 말 많이 해주신 것 같지만, 자리가 너무 멀어서 제대로 듣진 못했다. 어찌 되었건 전공교수님 덕에 특별한 경험을 할 수 있어서 좋았다.",1,,,,,
3939,"어디가 심하게 망가진 인간이 되었다는 생각을 가끔씩 하지. 복구가 불가능하다는 그런 생각. 왜, 씻을 수 없는 상처라는 말 흔히 하잖아. 나는 그 말을 아주 싫어하지. 누군가의 글에서 이 표현을 보고 씻기 빡치는 상처라고 바꿔 주었어. 피해자를 피해자 역할에만 고착화하는 표현이 될 수 있다, 뭐 그런 이유. 그런데 가끔 의심해. 정말 씻을 수 있는 게 맞아?",3,,,,,
3940,"괜찮은 듯 싶다가도 트리거에 금방 감정이 뒤엉키니까 나는 정말 고장난 인간이 되었다는 생각이 드는 거야. 뭐 굳이 사건 자체가 떠올라서 고통스럽다기보다는, 그냥 완전히 망가져버렸다는 생각이 계속 들어서 억울하고 화나고 서러운 것. 나만 이렇게 망가져 살아가니 억울하고, 더 이상 아무 일도 할 수 없어서 화나고, 앞으로도 계속 이렇게 살아야 할 것 같아서 서럽지. 망가진 인간 주제에 여전히 죽는 건 무서워서 죽지도 못해. 짜증이 나. 왜 죽으면 안 되고 왜 죽지 못하는지 이해가 되질 않고.",5,,,,,
3941,"우습게도 행복하게 살고 싶다고 생각하지. 그런데 행복을 손에 쥘 길이 없어. 행복, 좋은 말이지, 지금 여섯 시간째 침대에 누워 손도 까딱하지 못하는 게 지금 무슨 소리를 하고 있니? 아무것도 못 하지, 망가진 상태로는. 작은 것부터 시작해 볼까, 그런데, 내가 마지막으로 씻고 밖에 나간 게 언제더라?",5,,,,,
3942,"나도 나를 사랑하지 않으면서, 남들이 나를 사랑해주길 바라지. 나도 할 줄 모르는 것을 남에게 찾고 있어. 상대가 좋아할 만한 모습만 보여주려 하지. 알잖아, 망가진 사람은 누구도 좋아하지 않아. 내가 예쁘고 귀여워? 사랑해줘, 그럼 날 어떻게 대해도 상관없어.",5,,,,,
3943,"네가 이러는 게 지겹다, 말하던 사람도 있었지. 그리고 꼭 그건 내가 많이 좋아했던 사람들로부터였겠고. 너를 행복하게 해주고 싶어, 라는 말에 멍청하게도 현혹된 대가를 받았겠지. 그러게 왜 구질구질하게 굴었어. 머리가 꽃밭에 가 있으니 그런 소리를 듣는 것이 아냐?",5,,,,,
3944,"누군가 내가 힘들다는 걸 알아줬으면 좋겠다고 바라기도 하지. 사람들은 나에게 관심이 없다는 걸 알면서도. 나도 내가 지겹잖아. 나를 행복하게 해주고 싶다고 했지. 나를 수렁에서 꺼내주고 싶다고 생각했어? 봐, 내가 수렁에 빠진 게 아냐. 잘 봐, 내가, 수렁 그 자체였어.",5,,,,,
3945,"대체 뭘 어떻게 해야 할지 알 수가 없어. 하고 싶은 걸 찾으라고 하지. 아무것도 하고 싶지 않아, 라는 답도 선택지에 있나요, 그렇게 답한다면 다시 나를, 지겹다고, 말할 거잖아?",5,,,,,
3946,"잠들자. 잠들어 내일을 맞자. 깨어나면, 이 기분이 조금은 나아지겠지, 또 나를 속이고 엄마를 속이고 주위 사람들을 속여서, 그렇게 계속,",5,,,,,
3947,아침에 감기를 심하게 앓았어서 오늘은 쉬겠다고 연차를 냈었고 11시가 넘도록 잠을 잤다.,5,,,,,
3948,일어나서는 라면을 끓여먹고 조각 케이크 두개를 배달시켰다.,1,,,,,
3949,자축의 의미로!,1,,,,,
3950,만년필은 아주 마음에 든다!,1,,,,,
3951,어쩌다보니 10000일을 기념하는 만년필처럼 되었네!,1,,,,,
3952,기분전환도 하고 여러가지로 좋은 하루를 보내서 기분이 좋다!,1,,,,,
3953,아프지만 않았다면 말이지.,5,,,,,
3954,"일단... 오늘은 굉장히 파란만장한 날이었다. 낮까지 쿨쿨 자고 있었는데 갑자기 산책 나간 언니들한테 전화가 왔다. 꾸미 하네스 벗겨졌으니까 얼른 나오라는 전화였다... 듣자마자 눈이 번쩍 떠져서 후다닥 일어나서 패딩만 입고 꾸미 간식 한 봉지를 들고 급하게 데리러 나갔는데 꾸미 이 자식은 간식만 쏙쏙 받아먹고 손에 잡힐 정도로는 안 다가오고 헐레벌떡 도망가기만 했다. 정말 우리 강아지지만 미워죽는 줄 알았다. 흰색 거대한 가래떡이 아스팔트 위를 겅중겅중 뛰어다니는데... 어휴 정말!!! 미치는 줄 알았다. 진짜 혼나야 돼 똥깡아지... 아무튼 그래서 진짜 힘을 쪽 빼놓더니 손에 닿을랑말랑한 정도까지 다가왔을 때 설마 하는 마음으로 손 달라고 하니까 또 아주 착한 귀염둥이가 바로 손을 줬다... ㅋㅋㅋㅋㅋㅋ 바보 같고 귀여워... 잡을 수 있을 정도로 손에 쏙 들어오게 손 줬을 때 꽉 낚아채니까 아주 울부짖는데 억울했다. 아무튼 안고 들어와서 눈 온 땅에 앉고 엎드려서 젖은 꾸미 털을 씻겨줬는데 또 싫다고 아주 난리를 치더라... 야 니가 잘못한 건데 뭘 어떡해? 강아지는 참 웃기는 애다. 아무튼 꾸미 이야기는 이 정도로 마무리 하고 우주챗에서 질문 하나를 가져와서... Q. 여행갈 때 꼭 챙기는 물건은? A. 필름카메라. 예전에는... 뭘 챙겼었지? 여행을 자주 안 가서 기억이 잘 안 나는데 솔직히 DSLR은 너무 무겁고... 물론 수동도 무겁긴 하지만 무거워서 안 챙기는 대신 필카를 챙기니까 그만큼 얼른 확인하고 싶은 궁금증도 생기고... 스캔한 거 받아서 보면 아, 이때 여길 갔고 이런 걸 봤고 이런 걸 했구나 하고 알 수 있어서 더 좋은 거 같다. 그 감성에 빠져버렸어... 근데 진짜 뭘 했다고 벌써 주말이 다 가고 월요일이 온 거지? 이번 주 알바하고 나면 수요일에는 애들이랑 솜 보러 가고 금요일에는 다같이 만나고... 토요일에는 빵쓰 성인 기념으로 놀고 일요일에는 친척들 오니까... 이번 주에는 뭔가 일이 많네 그러고 나면 또 1월 한 달이 끝나고... 진짜 시간이 미친듯이 빨리 흐르는구나 뭘 하는 게 없어도 이렇게 눈에 보이게 훅훅 흘러가니까 진짜 뭐라고 표현해야 할 지도 모르겠다. 그냥 이상한 거 같다. 아무튼 올해는 아프지 않게 행복하게!!",1,,,,,
3955,"영웅호걸 정주행 시작한 날! 영웅호걸 하던 시절에 나는 13살 초등학생이었고 아이유언니는 18살이었다. 그때 가끔 영웅호걸을 보던 기억은 나는데 어떤 생각을 하면서 봤는지는 기억이 안 난다. 지금의 나보다 어린 아이유를 보니까 일단은 너무 귀엽다는 생각 뿐이다.. 그리고 그땐 하지 않았던 생각들을 지금은 하고 있는 거 같다. 남자MC들의 무례한 발언들, 외모로 차별하는 태도들 그런 것들을 웃음으로 소비했던 과거 시절이 지금 보면 너무 저질스럽고 싫다. 그래도 귀여운 18살 아이유를 보기 위해 끝까지 참고 봐보겠다! 그리고 나에게 첫 폴라로이드가 생긴 날이기도 하다♥ 이루리 덕질할 맛 난다>.< 또 당첨된 줄도 몰랐던 그날엔 달력도 받았다! 내일은 운전면허 필기시험을 보기로 한 날이다. 학원 다니기 전에 애들한테 필기 백점 맞을 거라고 얘기하고 다녔었는데 ㅋㅋ 공부는 개뿔 저녁 아니 밤이 된 10시가 다 돼서야 책을 폈다. 책에 있는 문제라도 다 풀고 시험을 보고 싶었지만 시간이 넉넉하지 않아서 운전면허학원 교육 때 강사님이 찝어주신 문제만 다 풀었다. 모르는 게 많고 틀린 것도 많아서 내일 붙을 수 있을지 걱정이다. 뭐 내일의 내가 잘 하겠지! 백점은 무슨 통과만 하길 바란다.",1,,,,,
3956,"솔직히 이야기하자면 부산에 내려온 것은 마음 비우기의 일환이었다. 연초부터 시끌벅적한 나의 보잘 것 없는 일상에서의 도피였고, 우울감으로부터의 도피였다. 원인은남의 인생이었지만 내 삶에 그만큼 큰 일부였기에 감정소모가 심했다.",4,,,,,
3957,"처음엔 화가 났고, 그 다음엔 슬퍼지더니 종래엔 포기를 하고 싶었다. 애써 나의 삶에 집중을 해보아도 스쳐지나가듯 떠오르는 그들의 삶이 문득 나를 서글퍼지게 했다. 그들이 흘린 땀과 눈물까지 부정당하는 기분이라 불쾌했다. 그런 분노와 불쾌함에 지쳐 부산까지 내려온 것이다. 난장판에서 조금은 벗어나 머리를 식힐 필요가 있었다.",3,,,,,
3958,맞다. 빛이 나던 내가 부정당하는 기분이 나를 가장 우울감에 빠지게 했다. 몇 번의 실패와 재도전에 드디어 성취 비슷한 것을 해냈는데 그것마저 종래엔 실패였다는 사실이 가장 나를 무력하게 했다.,5,,,,,
3959,2019년 1월  중순쯤 18년부터 계획했던 후쿠오카 여행을 다녀왔다 사실 일본에 공연이 아닌 정말 그 도시를 구경하러 가는건 처음이어서 무척 설레였고 두근거리는 일이었다.(지금은 가지도못할..) 도착하자마자 지인들을 만나서 숙소에 짐풀고 편의점을,2,,,,,
3960,고기고기고기..하루종일 고기만 먹고 또먹고 먹고 또먹고..ㅜ,1,,,,,
3961,근데 진짜 맛있었다 일본음식은 내입에 딱인거같다 지금은 시국이 이러니 나중에 엄마랑 대만이나 다낭 가야겠다:),1,,,,,
3962,암튼 먹고 또먹고 쇼핑하고 진짜 마음 맞는 사람들끼리 있다는게 얼마나 행복한 일인지 모른다 하루종일 웃고 떠들어도 지겹지않고 내 단점을 비웃거나 욕하지않는 사람들이 내곁에 있다는건 정말 큰 행복이다 이사람들과 함께라면 뭐든 두렵지도 어렵지도 않을듯:),1,,,,,
3963,처음으로 다같이 먼곳으로 여행온건데 다들 조금씩 배려했겠지만 맘도 잘맞고 트러블이 하나도없어서 너무 기억에 남는 여행인거같다.,1,,,,,
3964,중간에 편의점에 갔을때 일본놈이 우리보고 니하오? 라고해서 한국말로 쌍욕을 해줬다..그놈...다음에 만나면 가만두지않겠다 정말로ㅜㅜ,3,,,,,
3965,버블티도 먹고 고기도먹고 소바도먹고 커피도마시고 이것저것 구경하느라 시간은 지나고지나 벌써 3일째ㅜ 이제 다들 각자의 자리로 돌아갈 시간이다,1,,,,,
3966,정말 출근하기싫고 힘들었지만 그래도 해야하니까ㅜ 아침부터 부지런떨어서 밖에 나가자마자 백화점가서 명품관부터 싹 돌아봤는데 한국에는 줄서서 가드가 입장을 시켜줘야 들어갈수있는데 일본은 그런게없고 자유입장에 막 돌아다니면서 구경할수있어서 너무 신기했고 편했다.. 물론 산건 없지만^^.. 구경하는걸로도 너무 행복하고 즐거운 눈요기거리였다,5,,,,,
3967,한바탕 쇼핑하고 구경하고 점심먹고 이제 다들 공항으로 갈시간이라 지하철타고 다같이 이동하는데 후쿠오카는 도시가 작아서 그런지 금방금방 도착하는게 너무 좋은거같다 암튼 다같이 뱅기타고 한국와서 헤어지는데 발걸음이 떨어지지않고 너무 힘들었던 기억이 ㅜ,0,,,,,
3968,다음번에 놀러가면 더 전투적으로 놀꺼야(?),2,,,,,
3969,"집에 가다가 운동을 해야 한다. 안 하면 허리가 아프기 때문이다. 사실 허리 말고도 무릎이나 목, 손목이 다 아프다. 안 아픈 곳이 없다. 인간은 왜 아프지 않고는 살 수가 없는 걸까? 너무 많은 기능이 있어서 그런 걸까. 하지만 그런 거치고는 인간은 추위를 이겨낼 털이 있는 것도 아니고 사냥을 할 수 있는 손톱이나 발톱이 발달한 것도 아니다. 가진 거라곤 다른 짐승들보다 높은 지능 정도. 물론 그걸 활용하면 털이 없이도 취위를 이겨낼 수 있고 도구를 사용해서 사냥도 할 수 있다. 과연 짐승들 중에 제일 진화한 생물체임은 맞는 것 같으나 안 좋은 자세로 앉거나 누워있으면 몸이 상하고 마는지 그것은 진화가 될 수 없는 모양이다. 그것마저 진화해버리면 너무 형평성이 안 맞을까. 이왕 이렇게 된 거 그렇게 해주면 안 되는 걸까.",5,,,,,
3970,어쨌든 운동을 해야 한다. 몸에 고통을 줘서 강하게 만들어야 한다니 그걸 수시로 해줘야 하고 하지 않으면 다시 초기화되는 몸이라니 가성비가 정말 안 좋다. 연비도 안 좋고 말이야. 물론 운동을 하면 기분은 좋다. 스트레스도 풀리고 몸의 고통만을 생각하느라 다른 생각을 하지 않으니 잡념 제거에도 탁월하다. 인정한다. 인정하지만 역시 하기 싫은 것은 하기 싫은 것으로 심지어 내 돈을 내가며 해야 하는 고통스러운 행위이다. 운동이나 바른 자세 없이도 건강해질 수는 없는 걸까? 아마 그런 방법은 없겠지. 게임 속의 캐릭터들처럼 사냥을 하고 재화를 모아서 스텟을 찍는 방식으로 사람도 몸을 단련시킬 수 있으면 좋겠다. 그러면 돈 많은 사람들은 모두 스텟이 높겠지. 부조리한 세상이군. 안 하는  게 좋겠다.,5,,,,,
3971,"비참한 크리스마스, 아무것도 즐거울 게 없는 크리스마스다. 선물도 트리도 인사도 맛있는 식사도 친구도 없는 크리스마스다. 차라리 오늘이 크리스마스가 아니였더라면 덜 비참했을텐데 선물은 없더라도 즐겁게 인사라도 해주는 사람이 있었더라면 좋았을텐데",5,,,,,
3972,분명 방학 전에는 한달 반이라는 방학 기간이 정말 길고 길 줄 알았는데 막상 개학을 목전에 둔 상태라니 실감이 하나도 나지 않아서 뭔가 허무하다는 생각이 든다.  이제 개학을 하고 며칠 뒤면 그렇게 지겹게도 3년동안 꼬박꼬박 갔던 고등학교를 졸업하게 되는 것이다. 나에게는 절대 오지 않을 것만 같았던 스무살인데 어느새  대학 입학이 코앞이다. 스무살이 되면 이 답답한 학교를 벗어나 좀 더 자유로운 생활을 하게 되고  더 행복할 거라고 막연하게 생각을 했었는데 지금은 오히려 걱정과 기대가 반반씩 섞여 있다.,0,,,,,
3973,내가 자유로워진만큼 나에게 주어진 기회들은 내가 다 잡아야하고 삶에 대해서 모든 것들을 내가 거의 다 결정해야 하는 위치가 되었는데 내가 나이만 먹고 아직 어린 것 같아 앞으로의 미래에 대해서도 막막한 부분이 많고 경쟁 사회에서 내가 살아남을 수 있을까 하는 생각도 많이 든다. 물론 지금 이 시기의 친구들이 모두 하고 있는 걱정이긴 하겠지만.,5,,,,,
3974,"꿈을 꿨다. 동생이 나오는 꿈이었다. 아니, 동생이 죽는 꿈이었다.",5,,,,,
3975,정확하게는 죽은 이후 꿈이다.,5,,,,,
3976,"원인은 사고였다. 자세히 떠오르진 않지만, 어렴풋이 기억하기론 억울한 교통사고였다. 동생은 무고한 피해자였다.",3,,,,,
3977,"가해자에 대한 법적 처벌은 가벼웠다. 솜보다 더, 깃털 한 올보다 더, 떠다니는 먼지보다 더. 이해할 수 없었다. 용서한 적도 없는데 왜 죗값만 받으면 용서할 거라고 생각하는 걸까? 사지를 찢어 죽인다고 해도 나는 용서할 수가 없는데. 그 어떤 복수를 한다 해도 속이 풀릴 거 같지 않았다. 그런다고 동생이 돌아오는 것도 아니잖은가.",3,,,,,
3978,"우리 가족은 동생 물건을 정리하다 사진 한 장을 발견했다. 다들 차려입고 찍었던 첫 가족사진이었다. 그렇게 사진을 찍자, 찍자 해놓고 일 년이 지나서야 겨우 찍은 사진이다. 한 달 전에 찍었던 거라 사진은 현재 모습과 크게 다르지 않았다. 너는 이토록 선명한데, 내겐 아직 뚜렷이 존재하는데 더는 만날 수 없다. 날숨과 들숨이 없다. 시선을 마주할 수 없다. 믿기지 않는다.",0,,,,,
3979,"우리는 대화를 할 수도, 여느 날처럼 장난을 칠 수도, 서로에게 화를 낼 수도, 같이 앉아 식사할 수도, 다시는 또 다른 가족사진을 찍을 수도 없다. 네가 없으니까. 상실은 지독했다. 난생처음 겪는 고통이었다. 슬프다거나 괴롭다는 말로는 그 감정을 다 표현할 수 없다.",5,,,,,
3980,"나는 혼자 동생 방에서 사진을 부여잡고 울었다. 이건 꿈일 거야. 이게 현실일 리 없어. 이건 꿈이야. 입 밖으로 연신 그렇게 외쳤다. 제발 눈을 뜨게 해달라고, 그러고 나서 이걸 악몽으로 여길 수 있게 해달라고 빌었다. 누구에게 비는 건지도 모르고 엉엉 울며 간절히 매달렸다. 나는 동생의 죽음을 받아들일 수 없었다.",5,,,,,
3981,"하지만 아무리 소리 치고 눈물을 흘려도 변하는 건 없었다. 가슴을 잔인하게 파고드는 허공한 고통에서 벗어날 길이 보이지 않았다. 하루가 지나도, 이틀이 지나도, 며칠이 지나도 마찬가지였다. 결국 꿈속 나는 이게 현실이라는 걸 인정해야 했다. 내 동생은 이제 없다. 죽었다. 세상에 존재하지 않는다. 꿈이 아니다.",5,,,,,
3982,끔찍한 꿈이었다.,5,,,,,
3983,"나는 취준생이다. 다른 말로는 백수라고도 하는데 사실 두 단어 모두 별로다. 졸업한 직후엔 여느 때처럼 노는게 너무 좋아서 엄청 놀았다. 그래서 그런지 사람들이 나에 대해 물어볼 때 취준생이라고 말하기도 부끄러웠다. 취업 준비라고는 하는게 없었고 그저 신나게 노는 데에만 정신이 팔렸는데 취준생이라니. 졸업한지도 1년하고도 반년이 다 되어간다. 그 동안엔 여행도 다니고 하고 싶었던 공부도 하고 운동도 하며 시간을 보냈다. 새로운 취미 생활도 2개나 만들었고 가끔 심심하긴 했지만 백수 생활이 싫지는 않았다. 돈이 없을 때도 있었지만 일찍 취업해봤자 좋을거 하나 없다며 직장 생활에 힘들어하는 친구들을 보며 애써 위안을 했다. 하지만 이젠 이 생활이 너무 지루하고 괴롭다. 밖에 나가 동네만 어슬렁거려도 사람들은 다 너무 바빠보인다. 나빼고. 사회생활을 시작하게 되면 다 저렇게 되는건가. 우리 나라 사회가 각박하고 힘들다는건 뉴스나 각종 미디어를 통해서 알고는 있지만 사실 어떨지는 실감을 못 하겠다. 안 해봤으니 당연히 모를 수 밖에 없다. 그래서 그런지 사실 겁이 난다. 사회생활이란걸 내가 잘 할 수 있을까? 힘든 회사 생활, 동료와의 불화 등으로 인해 자살하는 사람도 있다던데 그게 내 일이 되지는 않을까. 가족들이 다 나가고 아무도 없는 집에서 혼자 생각을 하다보면 이런저런 생각과 걱정에 휩싸여 빠져나오기가 힘들다. 부정적인 생각들이 나를 사로잡는다. 나는 아무 것도 아닌거 같고 아무 것도 되지 않을 것만 같다. 그 동안 놀았던게 문제였을까. 여행은 절대 후회가 되지 않는데 그 외에 놀았던 시간들을 생각하면 후회가 된다. 꼭 직장을 구해야만 완전체가 되는걸까. 그냥 꼭 뭔가를 하지 않으면 안되는걸까. 핑계에 불과하겠지만 이런 생각들이 내 머리를 너무 아프게 한다. 그래도 오늘은 무언가를 꼭 해야겠다. 올해 상반기에는 가족들에게도, 친구들에게도 떳떳하고 당당할 수 있는 사회의 일원이 되고 싶다. 아침에 눈을 뜨면 머리가 아파오지만 나는 할 수 있다. 취준생이지만 더 이상 기죽지 않을 것이다 !",5,,,,,
3984,"어머니의 암 소식을 접하게 된 건 열일곱의 여름방학이었다. 친구와 단둘이서 여행을 가게 되어 들떠 있던 나에게 어머니께서는 자신이 암이라는 말을 꺼내지 못하셨다고 한다. 하지만 그 무렵의 가라앉은 집안의 분위기, 여행을 가 있는 내내 과분하리만치 신경써 주던 언니들과, 마지막까지 사라지지 않았던 채팅방의 숫자 1 따위가 아무리 철없던 시절의 나라도 어머니께 무슨 일이 생겼음을 쉽게 알 수 있었다. 그러나 언니들이 필사적으로 버티려 하는 것 같아서 물어볼 수는 없었다. 그 물음이 언니들을 무너뜨릴 것만 같았다. 사실 열일곱은 많고도 어린 나이라서, 물어볼 용기가 나지 않았던 걸지도 모른다.",5,,,,,
