lyrics;emotion
"부디 다시 한 번 나를 안고 제발, 지친 나를 일으켜줘 우리 사랑 했었던 날들 아직 모든 것들이 꿈만 같아"; 1, 5
"부디 다시 한 번 나를 깨워줘 제발, 지친 나를 일으켜줘 다시 나의 손을 잡아줘 부디, 다시 한 번 나를 안아줘 부디, 다시 한 번 나를 안아줘"; 1, 5
"도망가자 어디든 가야 할 것만 같아 넌 금방이라도 울 것 같아 괜찮아 우리 가자 걱정은 잠시 내려놓고"; 1, 2
"대신 가볍게 짐을 챙기자 실컷 웃고 다시 돌아오자 거기서는 우리 아무 생각말자"; 1, 2
"너랑 있을게 이렇게 손 내밀면 내가 잡을게 있을까 두려울 게 어디를 간다 해도 우린 서로를 꼭 붙잡고 있으니"; 1, 2
"너라서 나는 충분해 나를 봐 눈 맞춰줄래 너의 얼굴 위에 빛이 스며들 때까지 가보자 지금 나랑 도망가자"; 1, 2
"멀리 안 가도 괜찮을 거야 너와 함께라면 난 다 좋아 너의 맘이 편할 수 있는 곳 그게 어디든지 얘기 해줘"; 1, 2
"너랑 있을게 이렇게 손 내밀면 내가 잡을게 있을까 두려울 게 어디를 간다 해도 우린 서로를 꼭 붙잡고 있으니"; 1, 2
"가보는 거야 달려도 볼까 어디로든 어떻게든 내가 옆에 있을게 마음껏 울어도 돼 그 다음에 돌아오자 씩씩하게"; 1, 2
"지쳐도 돼 내가 안아줄게 괜찮아 좀 느려도 천천히 걸어도 나만은 너랑 갈 거야 어디든 당연해"; 1, 2
"가자 손잡고 사랑해 눈 맞춰줄래 너의 얼굴 위에 빛이 스며들 때까지 가보자 지금 나랑 도망가자"; 1, 2
"당신이란 사람 정말 몸서리 쳐질 정도로 끔찍하네요"; 3, 5
"언제까지 내 안에서 그렇게 살아 숨쉬고 있을 건가요 언제 죽어줄 생각인가요"; 0, 5
"시간이 흐르고 내 마음이 흘러서 그렇게 당신도 함께 흘러가야 되는데 정말 그게 말처럼 쉽지가 않네요"; 0, 5
"그리움에 울다 지쳐 잠이 드는 것도 이젠 지겹고 같은 그리움에 사무쳐 눈을 뜨는 것도 이젠 지겨워"; 0, 4, 5
"시간이 흐르고 내 마음이 흘러서 그렇게 당신도 함께 흘러가야 되는데 정말 그게 말처럼 쉽지가 않네요"; 0, 5
"내 안에 살고 있는 너의 기억 때문에 내 마음 내 시간 다 멈춰버려서 그 흔한 추억조차 만들지 못하고 난 아직도"; 0, 4, 5
"도대체 언제쯤에나 난 당신에게서 자유로울 수 있을까요 그런 날이 오기는 올까요 그때까지 견딜 수 있을까요"; 0, 5
"시간이 흐르고 내 마음이 흘러서 그렇게 당신도 함께 흘러가야 되는데 정말 그게 말처럼 쉽지가 않네요"; 0, 5
"내 안에 살고 있는 너의 기억 때문에 내 마음 내 시간 다 멈춰버"다들 바쁘다더니 취미까지 완벽히 해 나만 너무 게으르게 사는걸까?"; 3, 4
"억지로 뭐라도 써내네 한참 고민하다 적어낸 글 골라낸 사진 이게 진짜 나야? 아님 내가 되고 싶은 날까?"; 4, 6
"너무 뻔하고 시시한 이야기 매번 달라 질 것 없는 내 얘기"; 3, 4
"행복한 모습들 가득한 피드 그 안에 내 모습은 없네"; 4, 5
"나에게만 어려운 걸까 사랑은 다들 쉽게 쉽게 하는걸까 나만 너무 까다로운건 아닐까 부러움을 몰래 삼키네"; 0, 3, 4
"한참 고민하다 적어낸 글 골라낸 사진 이게 진짜 나야? 아님 내가 되고 싶은 날까?"; 4, 6
"너무 뻔하고 시시한 이야기 매번 달라 질 것 없는 내 얘기"; 3, 4
"행복한 모습들 가득한 피드 그 안에 내 모습은 없네"; 4, 5
"마음을 열 수가 없어요 나는 아주 약한 사람이거든요 모든 게 두려워 어쩌죠 나는 아무것도 할 수 없어요"; 3, 4, 5
"사실 난 삐뚤빼뚤 해요 나를 안을 사람 없을 거예요 누구나 첨벙첨벙 대는 내 마음 보면 멀미 날 거예요"; 4, 5
"아프고 힘든 날 사람이 그리운 날 기댈 곳이 없어 가끔 휘청거려요 나는 또 이대로 혼자 늙어가겠죠"; 0, 4, 5
"마음을 열지 못하고 숨기만 하네요 사실 난 울퉁불퉁해요 나를 만질 사람 없을 거예요"; 4, 5
"누구나 흔들흔들 대는 내 모습 보면 어지러울 거예요 아프고 힘든 날 사람이 그리운 날"; 4, 5
"기댈 곳이 없어 가끔 눈물이 나요 나는 또 이대로 혼자 늙어가겠죠"; 4, 5
"그래도 한 번쯤은 날 찾아줬으면 좀 더 어른이 되면 조금 나아질까요 그때는 다 괜찮을까요"; 1, 4
"계속 살아볼게요 가끔 보고 싶어도 그리움 꾹꾹 담고서"; 0, 1, 4
"Ah ah ah ah ah ah Ah ah ah ah ah ah 키만 훌쩍 커버린 어른아이 같아"; 6
"진심이 없는 네 말에 감당하지 못 할 감정을 택했잖아 그래 Too late 상처를 되돌리기엔 늦어버렸어"; 3, 5
"미쳤다 해도 뭐 어때 Ah ah ah ah Cause I can't control myself"; 3, 6
"Ah ah ah ah 네 앞에선 모든 게 잘 통제가 안 돼 다 터질 것만 같아 Cause I can't control myself"; 3, 6
"반복되는 Bad days 비참해 바닥난 감정 헛돌기만 해 헐거운 반지처럼 상관없어 사랑이 다 이럴 텐데"; 5
"Ah ha ha ha Feels like heaven feels like hell Ah ha ha ha 그마저도 I don't care"; 1, 3
"Ah 난 또다시 네게 되돌아갈 텐데 미쳤다 해도 뭐 어때 Ah ah ah ah Cause I can't control myself"; 1, 3
"Ah ah ah ah Ah ah ah ah 네 앞에선 모든 게 잘 통제가 안 돼 다 터질 것만 같아 Cause I can't control myself"; 3, 6
"누구도 괜찮지 않은 밤이 지나고 눈물을 안고 하루를 살아내"; 5
"괜찮아 괜찮다고 말하다가 진짜 그랬으면 좋겠다는 생각에 또 참고 있던 눈물이 나"; 5
"점점 두려워져 미안하다는 그 말 그 말에 또 무너져도"; 3, 5
"아마 우린 또 다시 슬픔을 감추며 살겠지 아무 일 없는 듯이 하룰 보내고"; 5
"혼자만 있는 시간이 올 때면 괜찮아 괜찮다고 말하다가 미안한 기억만 자꾸 떠올라"; 5
"또 참고 있던 눈물이나 점점 두려워져 미안하다는 그 말 그 말에 또 무너져도"; 3, 5
"아마 우린 또 다시 슬픔을 감추며 살겠지 우 아무것도 할 수 없어서"; 5
"우 누구도 괜찮지 않은 밤"; 5
"깊어진 눈에 담아진 생각을 이미 알기 전 작은 표정 속에 엎지르듯 쏟아져"; 0, 5
"이게 내 욕심이라면 이제는 알고 있는 걸 이 많은 소란들은 조금씩 가까워지고"; 3, 6
"더 깊어지는 것도 난 숨을 쉬는 것도 다 모든 것들이 전부 너에게 잠겨지고"; 5
"내 모든 걸 갖고서 난 괜찮다고 말할까 젖은 생각 속 깊어지는 나에게"; 5
"이제 까맣게 남은 재처럼 너에겐 너무 가벼운 내가 너의 많은 생각들에 있을까"; 4, 5
"이런 걸 알고 있다면 이제는 그만 했음 해 깊게 쏟아지는 생각에 더 잠겨지고"; 3, 5
"더 깊어지는 것도 난 숨을 쉬는 것도 다 모든 것들이 전부 너에게 잠겨지고"; 5
"내 모든 걸 갖고서 난 괜찮다고 말할까 젖은 생각 속 깊어지는 나에게 이제 아무 일도 없단 듯이 날 안아줘"; 5
"이 가라앉은 기분은 늘 익숙해지지 않을 테니 체념하고 버리듯이 포기하는 것도 난 너에게 있어"; 4, 5
"나는 언제나 떨어지는 날 보는 것 같아 더 깊어지는 것도 난 숨을 쉬는 것도 다 모든 것들이 전부 너에게 잠겨지고 내 모든 걸 갖고서 난 괜찮다고 말할까 젖은 생각 속 깊어지는 나에게 이제"; 5
"사람은 가끔 내가 실패하길 바라는가 봐 무언가 바라는 것도 다른 이유뿐인데"; 3
"사람은 가끔 내가 실패하길 바라는가 봐 무언가 바라는 것도 다른 이유뿐인데"; 3
"우린 잘하지 못하는 일들로 외롭지 말자 미움이 아닌 이해를 줘"; 4
"너와 난 다른 지구에 밀려온 섬이 아닐까 사랑이 아닌 이해를 해줘"; 0, 4
"도무지 알 수 없는 걸 이렇게 멀어지는 걸"; 4, 5
"사실은 나도 이래선 안돼 나는 오늘보다 내일 더 나아질 수 있을까"; 3
"누군가 필요한 것도 나를 위한 일인데"; 4
"우린 잘 하지 못하는 일들로 외롭지 말자 미움이 아닌 이해를 줘"; 4
"너와 난 다른 지구에 밀려온 섬이 아닐까 사랑이 아닌 이해를 해줘"; 0, 4
"도무지 알 수 없는 걸 이렇게 멀어지는 걸 사실은 나도 이래선 안돼"; 3, 5
